Server_ID,Sponsor,Server_Name,Timestamp,Distance,Ping,Download,Upload,Share,IP_Address
5302,Previder BV,Hengelo,2021-01-13T19:13:53.514340Z,162.25234461765,618.282,1381133.3505201524,234426.41061697784,,95.90.227.120
28360,Consultix,Bremen,2021-01-13T19:20:52.491790Z,1.6285074864628526,556.37,747418.4353382683,201018.690186266,,95.90.227.120
28360,Consultix,Bremen,2021-01-13T19:39:17.385107Z,1.6285074864628526,553.621,901086.0010633878,206308.820385309,,95.90.227.120
31339,Qonnected B.V.,Zwolle,2021-01-13T20:00:46.805853Z,192.48654790407258,435.502,2719386.5652183266,218430.8984969969,,95.90.227.120
12057,Qonnected B.V.,Hardenberg,2021-01-13T20:03:08.566804Z,156.51388526651255,363.421,1676244.473109496,189326.22734694448,,95.90.227.120
